"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"SA518695","restCAF","restCAF","restCAF","restCAF","Activated","myCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"SA518704","restCAF","Mixed.restCAF","Mixed.restCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Pure Classical","permCAF",TRUE
"SA518709",NA,"Mixed","Mixed","restCAF","Normal","iCAF","Classical","Immune-rich","Stroma Activated","restCAF",TRUE
"SA518712","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Stroma Activated","restCAF",TRUE
"SA518716","restCAF","Mixed.restCAF","Mixed.restCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"SA518724","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"SA518765",NA,"Mixed","Mixed","restCAF","Activated","myCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"SA518806","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","permCAF",TRUE
"SA518817","permCAF","Mixed.permCAF","Mixed.permCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"SA518854",NA,"Mixed","Mixed","restCAF","Activated","myCAF","Classical","Immune-rich","Stroma Activated","restCAF",TRUE
"SA518868","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Desmoplastic","permCAF",TRUE
"SA518878","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Stroma Activated","permCAF",TRUE
"SA528670",NA,"Mixed","Mixed","restCAF","Activated","myCAF","Basal-like","Immune-rich","Pure Basal-like","restCAF",TRUE
"SA528676","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","permCAF",TRUE
"SA528687","restCAF","Mixed.restCAF","Mixed.restCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"SA528693","permCAF","permCAF","permCAF","restCAF","Activated","iCAF","Basal-like","ECM-rich","Pure Basal-like","permCAF",TRUE
"SA528695","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA528697","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"SA528755","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Pure Classical","permCAF",TRUE
"SA528761","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Pure Basal-like","permCAF",TRUE
