"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"TCGA-IB-A6UG-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","restCAF",TRUE
"TCGA-HZ-A77P-01A","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"TCGA-HZ-A77O-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Basal-like","ECM-rich","Stroma Activated","permCAF",TRUE
"TCGA-LB-A7SX-01A",NA,NA,"Absent","permCAF","Activated","iCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"TCGA-RB-A7B8-01A","permCAF","permCAF","permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-US-A776-01A","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"TCGA-HZ-A8P0-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"TCGA-IB-A7LX-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","permCAF",TRUE
"TCGA-HZ-A77Q-01A","restCAF","restCAF","restCAF","restCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"TCGA-IB-A7M4-01A","permCAF","permCAF","permCAF","permCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-XN-A8T5-01A","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"TCGA-LB-A8F3-01A",NA,NA,"Absent","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-YB-A89D-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-YY-A8LH-01A",NA,NA,"Absent","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"TCGA-S4-A8RP-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-XN-A8T3-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Basal-like","ECM-rich","Stroma Activated","restCAF",TRUE
"TCGA-F2-A8YN-01A","permCAF","permCAF","permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-S4-A8RO-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Classical","permCAF",TRUE
"TCGA-HZ-A8P1-01A",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
