"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"DeSurv","D1 Classical/restCAF","SCISSORS_restCAF","SCISSORS: restCAF",0.366404626366676,0.00834958252087396,0.0206171509606338,TRUE
"DeSurv","D1 Classical/restCAF","SCISSORS_proCAF","SCISSORS: proCAF",-0.263433981576254,0.0670966451677416,0.116128808944168,TRUE
"DeSurv","D1 Classical/restCAF","SCISSORS_Perivascular","SCISSORS: Perivascular",0.252926208651399,0.340882955852207,0.42791610419479,FALSE
"DeSurv","D1 Classical/restCAF","SCISSORS_panCAF","SCISSORS: panCAF",-0.21317901810715,0.0851457427128644,0.137660781631577,FALSE
"DeSurv","D1 Classical/restCAF","SCISSORS_Basal-like","SCISSORS: Basal-like",-0.230429941760877,0.0541472926353682,0.0994542109629212,FALSE
"DeSurv","D1 Classical/restCAF","SCISSORS_Classical","SCISSORS: Classical",-0.0184338249019974,0.882905854707265,0.921185600951613,FALSE
"DeSurv","D1 Classical/restCAF","deCAF_proCAF","deCAF: proCAF",-0.0513733468972533,0.861106944652767,0.911760294338224,TRUE
"DeSurv","D1 Classical/restCAF","deCAF_restCAF","deCAF: restCAF",0.223496432212029,0.279386030698465,0.369775628865616,TRUE
"DeSurv","D2 proCAF","PurIST_BasalLike","PurIST: Basal-like",-0.415763044902118,0.055997200139993,0.101154942252887,TRUE
"DeSurv","D2 proCAF","PurIST_Classical","PurIST: Classical",-0.374745158002039,0.0657967101644918,0.115357868470213,TRUE
"DeSurv","D2 proCAF","DECODER_BasalTumor","DECODER: Basal-like tumor",-0.353280237634033,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","DECODER_ClassicalTumor","DECODER: Classical tumor",-0.256371383538589,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","DECODER_ActivatedStroma","DECODER: Activated Stroma",0.28307872856745,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","DECODER_NormalStroma","DECODER: Normal Stroma",-0.143938618925831,0.338183090845458,0.426679600599409,FALSE
"DeSurv","D2 proCAF","DECODER_Immune","DECODER: Immune",0.350471204188482,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D2 proCAF","DECODER_Exocrine","DECODER: Exocrine",0.237444538846408,0.00679966001699915,0.0171580206036427,TRUE
"DeSurv","D2 proCAF","DECODER_Endocrine","DECODER: Endocrine",0.227885168614587,0.00219989000549973,0.00659967001649918,TRUE
"DeSurv","D2 proCAF","Moffitt_Basal-like","Moffitt: Basal-like",-0.163076923076923,0.206789660516974,0.283417301216157,TRUE
