"factor1","factor2","factor3"
"FUT3","SLC1A3","BAIAP2L1"
"SIPA1L2","FGF7","MGST1"
"SPINK5","ABCA8","TFF1"
"ACSL1","ADAM12","MUC4"
"BTNL8","CYBRD1","MMP28"
"CORO2A","TFRC","CLDN1"
"LAD1","CTSK","TM4SF1"
"TMEM63A","COLEC12","TFF3"
"GC","ALDH1L2","UNC13D"
"C1orf21","PGM2L1","SERINC2"
"MIF","FAM135A","SPNS2"
"FOXA2","DOCK11","AQP5"
"CCL19","EPHA3","IGFBP4"
"GSTA1","PAPPA","SLC7A5"
"LLGL2","EGFR","TESC"
"ACP5","RASA1","IFITM1"
"UGT2B15","AHR","KCNK5"
"RPL9","IRF6","IL1RN"
"CD79A","KLHL6","TST"
"PROM1","C1QTNF3","RAPGEFL1"
"SCD","PCLO","C15orf48"
"TMC5","ITGA2","PFKP"
"CCL14","LRIG3","STARD10"
"PLXNB1","SSPN","FOXQ1"
"TMEM119","F2R","REG4"
"SORBS2","PDGFC","GJB1"
"C7","CD109","SLC29A1"
"SLC12A7","CLIC4","NOTCH3"
"QSOX1","SORL1","TRIM16"
"UNC5CL","AOAH","TAP2"
"LONRF2","FMO2","KRT19"
"VSIG2","RDX","CRP"
"ADAMTSL2","IL1RAP","SNHG5"
"ARHGEF16","GBP1","KRT18"
"PCOLCE","CXCR4","CA12"
"CFC1B","WNK1","MYEOV"
"SLC9A3","MFAP5","P4HB"
"ACACB","ALDH1A3","VILL"
"BCAS1","CD53","HKDC1"
"RASD1","OMD","STEAP3"
"LGALS4","PLOD2","PLEK2"
"MS4A1","ITGAV","CD68"
"CAPN6","MACF1","MAFF"
"SCCPDH","NID2","CD9"
"PTPRCAP","NAMPT","PLLP"
"VNN1","ADAM28","EPHB4"
"PI16","GNE","KRT16"
"SEMA7A","ENAH","ABLIM3"
"IL10RA","FAM129A","PTPRU"
"GALNT3","ECM2","MUC6"
"GOLM1","VSIG4","FDFT1"
"TNFAIP2","MTAP","GAPDH"
"CD79B","INMT","EPS8L3"
"ENPP2","SGMS2","CLDN10"
"SQLE","COL4A4","ITPKC"
"KLF4","CAPRIN2","LOXL2"
"PDLIM7","CENPF","AMIGO2"
"FOSB","DCLK1","DUOX2"
"RHPN2","EDNRA","CLDN4"
"SCG2","WNT5A","CAPG"
"EMILIN1","GALNT5","CEACAM5"
"BACE2","SLC38A2","VWA1"
"PPP1R12B","RASSF2","SDC1"
"PIP5K1B","ZNF83","KLK11"
"AHCYL2","CYTIP","PERP"
"SST","SRPX2","ARHGAP23"
"CYP3A5","LY75","HPGD"
"SMAP2","HLA-DOA","AKR1C3"
"ZG16B","STK38L","CRABP2"
"SERPINF1","RSAD2","GRB7"
"CLDN3","HBB","SERPINA4"
"NR1I2","HERC2P2","SLC39A4"
"JUND","AOX1","FA2H"
"NCF2","PLIN2","RPL8"
"CELSR1","PFKFB2","MT1X"
"MUC17","OGN","TCN1"
"INPP5D","DOCK10","AKAP1"
"TM4SF5","RGS4","GJB3"
"HNF4A","AXL","DUOXA2"
"CFD","FGD6","HLA-DRB5"
